Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2038.08,24456.96,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (3), Instance type (db.m6g.xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,6763.68,81164.16,USD,"Operating system (Linux), Quantity (12), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (m5.4xlarge)"
My Estimate,US East (N. Virginia),Application Servers,Amazon EC2,0,3381.84,40582.08,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (m5.4xlarge)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,616.85,7402.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,1675.35,20104.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,S3 Standard,0,96.45,1157.40,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,1617.83,19413.96,USD,"DT Inbound: Internet (18 TB per month), DT Outbound: Internet (18 TB per month)"
My Estimate,US East (N. Virginia),,Amazon ElastiCache,0,3775.56,45306.72,USD,( 3 instances of type Memcached  Memory optimized  cache r5.4xlarge  OnDemand )

Added an Elastic Cache layer to accelerate the application server's data access.
Added a third AZ to increase redundancy. This includes additional EC2 instances as well as a second read replica of the database.
Scaled up the web server instance type to improve performance.


Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
https://calculator.aws/#/estimate?id=5f8c46050e161e2fbd7c40e585892284f23a7461